,ExpNum,ID,CodeExclu,Answer,AverageExpertise_x,AvergeConfidence,Confidence,DelID,GuruID,ProbaDel,Unnamed: 0,Unnamed: 0.1,Weight,CodeQuestion,Proba,country,gender,gender_,unique_id,unique_id_q,AverageExpertise_y,IRTExpertise,Normalized_IRT,Normalized_IRT_1
123,E11,9,PE9,0.125,0.125,,,12.0,12.0,1.0,751.5,11.0,0.0,,,france,male,,E11_9,E11_9_PE9,0.125,-1.0848546315432614,0.2916263247538702,-4.167473504922596
125,E11,9,T,0.25,0.25,,,,9.0,0.0,319.5,11.0,2.0,,,france,male,,E11_9,E11_9_T,0.25,-0.6036138920979449,0.42144729865015085,-1.5710540269969844
126,E11,10,K,0.625,0.625,,,16.0,0.0,1.0,104.5,12.0,0.0,,,france,female,,E11_10,E11_10_K,0.625,0.41535144002890906,0.6963265034650346,3.926530069300691
127,E11,10,PC,0.625,0.625,,,3.0,3.0,1.0,536.5,12.0,0.0,,,france,female,,E11_10,E11_10_PC,0.625,0.25031062762119255,0.6518045890816042,3.0360917816320825
128,E11,10,PE9,0.5,0.5,,,7.0,7.0,1.0,752.5,12.0,0.0,,,france,female,,E11_10,E11_10_PE9,0.5,0.140140414542008,0.6220847354117224,2.441694708234447
130,E11,10,T,0.75,0.75,,,,10.0,0.0,320.5,12.0,2.0,,,france,female,,E11_10,E11_10_T,0.75,0.8069387353177425,0.8019622900328991,6.03924580065798
131,E11,11,K,0.625,0.625,,,0.0,0.0,1.0,105.5,13.0,0.0,,,france,female,,E11_11,E11_11_K,0.625,0.3141674605661527,0.6690308036626929,3.380616073253856
132,E11,11,PC,1.0,1.0,,,3.0,3.0,1.0,537.5,13.0,0.0,,,france,female,,E11_11,E11_11_PC,1.0,1.2486381505313697,0.9211164753550802,8.422329507101605
133,E11,11,PE9,0.5,0.5,,,12.0,12.0,1.0,753.5,13.0,0.0,,,france,female,,E11_11,E11_11_PE9,0.5,0.29073306067777177,0.6627090682674496,3.254181365348991
135,E11,11,T,0.5,0.5,,,10.0,10.0,1.0,321.5,13.0,0.0,,,france,female,,E11_11,E11_11_T,0.5,0.02075616188849502,0.5898792742422826,1.7975854848456496
136,E11,12,K,0.625,0.625,,,,12.0,0.0,106.5,14.0,1.0,,,france,male,,E11_12,E11_12_K,0.625,0.41535144002890906,0.6963265034650346,3.926530069300691
137,E11,12,PC,0.625,0.625,,,5.0,5.0,1.0,538.5,14.0,0.0,,,france,male,,E11_12,E11_12_PC,0.625,0.6285744560369672,0.7538461964718518,5.0769239294370365
138,E11,12,PE9,0.75,0.75,,,,12.0,0.0,754.5,14.0,4.0,,,france,male,,E11_12,E11_12_PE9,0.75,0.7440932754255197,0.7850089065401138,5.700178130802277
140,E11,12,T,0.375,0.375,,,,12.0,0.0,322.5,14.0,1.0,,,france,male,,E11_12,E11_12_T,0.375,-0.14839808688519712,0.5442477066825503,0.8849541336510054
141,E11,13,K,0.875,0.875,,,,13.0,0.0,107.5,15.0,1.0,,,france,male,,E11_13,E11_13_K,0.875,1.0914576055481928,0.8787149707551506,7.57429941510301
142,E11,13,PC,0.75,0.75,,,,13.0,0.0,539.5,15.0,1.0,,,france,male,,E11_13,E11_13_PC,0.75,0.49845557761050474,0.718744929818731,4.374898596374619
143,E11,13,PE9,0.375,0.375,,,,13.0,0.0,755.5,15.0,2.0,,,france,male,,E11_13,E11_13_PE9,0.375,-0.3622709197580887,0.4865527170906099,-0.26894565818780336
145,E11,13,T,0.5,0.5,,,6.0,6.0,1.0,323.5,15.0,0.0,,,france,male,,E11_13,E11_13_T,0.5,0.18835358932410828,0.6350908689158354,2.7018173783167097
146,E11,14,K,0.625,0.625,,,,14.0,0.0,108.5,16.0,1.0,,,france,male,,E11_14,E11_14_K,0.625,0.26011043633956804,0.6544482154572164,3.088964309144327
147,E11,14,PC,0.875,0.875,,,8.0,8.0,1.0,540.5,16.0,0.0,,,france,male,,E11_14,E11_14_PC,0.875,0.9571650019640229,0.8424877872368585,6.849755744737166
148,E11,14,PE9,0.75,0.75,,,5.0,5.0,1.0,756.5,16.0,0.0,,,france,male,,E11_14,E11_14_PE9,0.75,0.8279866676845896,0.807640244649785,6.1528048929957
150,E11,14,T,0.75,0.75,,,,14.0,0.0,324.5,16.0,1.0,,,france,male,,E11_14,E11_14_T,0.75,0.739302444250818,0.7837165172681887,5.674330345363773
